# buildings_simplified.csv -- one row per building, frame: SUMO local (m)
# name, cx, cy, sx, sy, sz, yaw_deg
bld_B355251860901063C0,     728.58,     426.13,   15.87,    4.59,  36.27,   -14.91
bld_B355251861301063C0,     729.63,     430.14,   15.87,    4.45,  33.96,   -14.91
bld_B355251874901063C0,     735.78,     566.13,   13.76,    4.80,  30.57,   -14.63
bld_B355261861701063C0,     730.73,     434.30,   15.89,    4.24,  33.96,   -15.20
bld_B355261875401063C0,     736.70,     570.65,   14.30,    4.54,  30.57,   -15.35
bld_B355261881901063C0,     736.12,     636.85,   15.77,    4.57,  26.92,   -14.92
bld_B355271862201063C0,     731.79,     438.30,   15.88,    4.24,  33.95,   -15.00
bld_B355271882401063C0,     737.23,     641.19,   15.66,    4.40,  26.92,   -14.94
bld_B355271906901063C0,     742.70,     887.29,   13.44,    6.15,  27.77,     8.72
bld_B355281862601063C0,     732.94,     442.71,   15.87,    4.90,  33.96,   -14.96
bld_B355281875801063C0,     737.45,     574.97,   13.52,    5.25,  27.91,   -14.81
bld_B355281906101063C0,     743.74,     877.68,   14.49,   12.49,  51.76,   -81.78
bld_B355291876201063C0,     738.77,     579.40,   13.29,    4.13,  27.91,   -15.37
bld_B355291882901063C0,     738.46,     646.24,   15.67,    6.01,  34.27,   -14.93
bld_B355291898901063C0,     743.40,     804.88,   32.95,   15.94,  31.93,     8.96
bld_B355291905001063C0,     744.80,     868.61,   12.03,    4.35,  27.31,     9.34
bld_B355301863001063C0,     733.89,     447.02,   16.27,    4.49,  33.22,   -15.22
bld_B355301863401063C0,     735.05,     451.29,   16.18,    4.38,  33.22,   -15.15
bld_B355301876701063C0,     740.05,     583.47,   13.68,    4.77,  27.81,   -15.33
bld_B355301883301063C0,     739.42,     650.67,   15.82,    3.95,  34.27,   -14.93
bld_B355301904601063C0,     745.49,     864.07,   11.97,    4.99,  27.31,     8.64
bld_B355311883801063C0,     740.19,     654.72,   13.32,    4.57,  21.29,   -14.88
bld_B355321863801063C0,     736.29,     455.84,   16.14,    6.59,  33.62,   -14.37
bld_B355321877101063C0,     741.20,     587.98,   13.72,    4.65,  27.84,   -14.90
bld_B355321877601063C0,     742.24,     592.13,   13.86,    4.92,  28.37,   -15.34
bld_B355321904201063C0,     746.53,     859.67,   12.01,    5.36,  22.05,     9.23
bld_B355331865201063C0,     739.61,     467.44,   16.09,    6.84,  29.41,   -15.31
bld_B355331866101063C0,     742.43,     477.34,   16.10,    4.63,  28.25,   -14.87
bld_B355331884902063C0,     743.27,     667.41,   21.78,   12.38,  19.96,    75.04
bld_B355331903701063C0,     746.96,     855.33,   12.60,    4.13,  27.42,     8.08
bld_B355341878001063C0,     743.60,     597.30,   13.91,    5.78,  28.36,   -15.38
bld_B355341903301063C0,     747.73,     850.50,   12.59,    5.64,  27.42,     8.10
bld_B355351865601063C0,     741.18,     473.06,   16.03,    4.83,  27.49,   -15.25
bld_B355351884701063C0,     743.13,     664.56,   13.08,   11.06,  58.89,    74.90
bld_B355351901901063C0,     751.08,     836.92,   10.05,    4.78,  27.67,     8.37
bld_B355351902601063C0,     748.20,     843.41,   11.10,    9.02,   9.93,     8.38
bld_B355361879301063C0,     747.02,     610.49,   13.42,    5.16,  28.59,   -14.98
bld_B355361902002063C0,     750.01,     836.03,   12.45,    6.28,  10.60,     8.32
bld_B355371860101063C0,     745.36,     417.19,   16.45,    4.43,  28.02,   -14.92
bld_B355381879801063C0,     748.42,     614.89,   14.07,    4.79,  29.08,   -14.80
bld_B355391860501063C0,     746.42,     421.22,   16.42,    4.60,  27.94,   -14.93
bld_B355391866701063C0,     744.25,     483.56,   16.20,    8.84,  28.33,   -14.32
bld_B355391867201063C0,     745.85,     489.84,   15.81,    4.60,  28.45,   -15.15
bld_B355391880301063C0,     749.54,     619.43,   14.25,    4.57,  29.09,   -14.82
bld_B355391880701063C0,     751.13,     623.77,   10.88,    4.85,  36.30,   -14.79
bld_B355391918401063C0,     755.04,    1002.44,   12.49,   10.96,  58.76,   -81.25
bld_B355391918402063C0,     754.00,    1001.66,   16.04,   14.09,  10.33,     9.26
bld_B355401860901063C0,     747.59,     425.59,   16.43,    4.74,  28.53,   -14.88
bld_B355401881101063C0,     752.32,     628.35,   10.87,    4.63,  36.30,   -14.81
bld_B355401884702063C0,     749.99,     663.75,   18.11,    2.68,  10.78,    75.37
bld_B355401893001063C0,     750.96,     747.50,   38.61,   28.76,  32.90,     8.64
bld_B355411861401063C0,     748.76,     430.01,   16.42,    4.41,  28.53,   -14.88
bld_B355411867701063C0,     747.12,     494.14,   15.89,    4.38,  28.45,   -15.11
bld_B355411917101063C0,     756.14,     987.82,   16.10,    4.58,  27.03,     8.97
bld_B355411917501063C0,     755.45,     992.40,   16.23,    4.71,  27.04,     8.97
bld_B355421861801063C0,     749.95,     434.01,   16.17,    4.36,  28.36,   -14.52
bld_B355421868101063C0,     748.17,     498.17,   16.02,    4.61,  27.82,   -14.96
bld_B355421881601063C0,     753.44,     632.72,   10.88,    4.40,  36.22,   -14.79
bld_B355421896201063C0,     754.32,     782.22,   32.44,   18.65,  25.23,   -81.07
bld_B355421916701063C0,     756.86,     983.30,   16.05,    4.58,  27.19,     8.97
bld_B355431868501063C0,     749.01,     502.65,   15.89,    4.49,  27.82,   -14.97
bld_B355431882001063C0,     754.51,     636.99,   10.89,    4.53,  36.22,   -14.16
bld_B355431916201063C0,     757.64,     978.69,   16.10,    4.76,  27.20,     8.96
bld_B355441862201063C0,     751.07,     438.88,   16.48,    6.27,  28.36,   -14.30
bld_B355441869001063C0,     749.97,     506.83,   16.15,    4.51,  35.41,   -15.25
bld_B355441915701063C0,     758.36,     974.21,   16.06,    4.71,  27.64,     8.96
bld_B355451869401063C0,     750.96,     511.08,   16.20,    4.22,  35.42,   -15.26
bld_B355451915301063C0,     759.39,     969.64,   16.60,    4.65,  27.63,     8.97
bld_B355461869801063C0,     752.06,     515.10,   16.30,    4.15,  35.42,   -15.35
bld_B355461870201063C0,     752.11,     519.02,   15.55,    5.20,  23.23,   -15.10
bld_B355461882901063C0,     756.23,     645.81,   13.81,   13.22,  37.56,    75.38
bld_B355461914801063C0,     759.65,     964.61,   17.67,    5.57,  27.21,     9.27
bld_B355471913501063C0,     761.93,     951.93,   16.88,    7.16,  28.32,    14.38
bld_B355481870701063C0,     753.48,     525.80,   17.76,    8.64,  23.23,   -15.14
bld_B355481913001063C0,     762.62,     946.87,   16.00,    4.75,  28.31,     9.23
bld_B355491864801063C0,     756.50,     463.94,   18.50,    5.86,  28.49,   -14.99
bld_B355491884401063C0,     760.52,     661.75,   19.44,   13.14,  27.56,    75.11
bld_B355501912401063C0,     763.64,     940.32,   16.17,    9.03,  26.88,     9.19
bld_B355511865301063C0,     759.04,     468.32,   15.87,    4.45,  33.01,   -15.21
bld_B355511872401063C0,     758.64,     540.66,   16.90,    4.40,  26.23,   -14.71
bld_B355511911701063C0,     765.03,     933.33,   16.83,    5.66,  26.96,     9.44
bld_B355521910801063C0,     766.17,     924.55,   16.52,    4.69,  28.45,     9.33
bld_B355521911301063C0,     765.68,     929.03,   16.81,    4.80,  26.95,     8.87
bld_B355531865601063C0,     760.09,     472.63,   15.94,    4.43,  33.01,   -15.19
bld_B355531866001063C0,     760.94,     476.70,   15.50,    4.32,  27.74,   -14.91
bld_B355531866501063C0,     762.19,     480.86,   15.14,    4.38,  27.75,   -14.90
bld_B355531871901063C0,     757.54,     536.49,   16.89,    4.26,  26.23,   -14.78
bld_B355531872801063C0,     759.26,     544.67,   14.26,    4.02,  26.74,   -14.72
bld_B355531890601063C0,     763.50,     722.16,   25.30,   22.00,  14.98,   -80.89
bld_B355531910401063C0,     766.83,     919.96,   16.50,    4.61,  28.45,     9.44
bld_B355541873201063C0,     760.27,     548.50,   14.25,    3.91,  26.73,   -14.70
bld_B355541909901063C0,     767.46,     915.57,   16.46,    4.57,  35.77,     9.41
bld_B355551866901063C0,     763.45,     484.91,   15.64,    4.33,  28.19,   -14.93
bld_B355551873601063C0,     760.90,     552.57,   15.10,    4.31,  27.50,   -14.71
bld_B355551874001063C0,     761.61,     556.64,   14.43,    3.95,  27.49,   -14.69
bld_B355551909401063C0,     768.15,     910.01,   16.75,    6.79,  39.79,     8.90
bld_B355561867301063C0,     764.51,     489.14,   15.74,    4.39,  28.19,   -14.91
bld_B355561919201063C0,     773.41,    1009.38,   17.27,    5.76,  27.28,     8.84
bld_B355571867801063C0,     767.06,     492.99,   18.39,    4.87,  27.59,   -14.84
bld_B355571874401063C0,     762.69,     560.78,   14.42,    4.62,  33.39,   -14.71
bld_B355571916701063C0,     775.08,     989.09,   16.73,   15.84,  78.85,   -81.09
bld_B355581868101063C0,     768.26,     497.59,   18.42,    4.64,  27.59,   -14.82
bld_B355581874801063C0,     764.23,     565.37,   12.97,    5.06,  33.40,   -14.72
bld_B355581918501063C0,     774.35,    1002.05,   16.91,    9.21,  66.42,     8.57
bld_B355591868601063C0,     767.75,     502.10,   15.77,    4.23,  27.37,   -14.51
bld_B355591875201063C0,     766.31,     569.76,   15.84,    4.57,  26.95,   -14.44
bld_B355591875701063C0,     767.53,     573.70,   16.25,    3.74,  26.96,   -14.71
bld_B355591906701063C0,     772.40,     884.31,   12.12,   11.11,  83.50,   -80.15
bld_B355591906802063C0,     771.81,     885.01,   19.97,   15.80,  16.02,   -81.11
bld_B355601869101063C0,     768.82,     506.20,   15.88,    4.48,  27.36,   -15.32
bld_B355601917102063C0,     776.07,     988.55,   18.20,   17.70,  21.02,   -81.04
bld_B355611869501063C0,     770.14,     510.53,   15.62,    4.79,  28.01,   -14.92
bld_B355621869901063C0,     770.62,     514.91,   16.97,    5.01,  27.08,   -17.08
bld_B355621876101063C0,     768.36,     577.79,   16.78,    4.61,  28.59,   -14.73
bld_B355631870301063C0,     772.48,     519.43,   15.73,    5.40,  27.08,   -14.62
bld_B355631876501063C0,     769.44,     581.96,   16.76,    4.03,  28.77,   -14.70
bld_B355631904201063C0,     775.83,     856.02,   27.29,   10.83,  77.21,   -81.03
bld_B355631915601063C0,     779.15,     973.10,   17.53,    4.44,  33.52,     8.54
bld_B355631916101063C0,     777.54,     977.43,   18.94,    4.92,  32.24,     9.46
bld_B355641876901063C0,     770.67,     585.48,   16.12,    3.42,  26.81,   -14.72
bld_B355641904102063C0,     776.33,     856.22,   38.36,   15.47,  16.01,   -80.96
bld_B355641915201063C0,     779.98,     967.70,   17.52,    6.61,  32.38,     8.96
bld_B355651877301063C0,     772.08,     589.76,   16.70,    5.63,  28.29,   -14.47
bld_B355661879401063C0,     777.43,     608.87,   17.84,    4.52,  37.41,   -15.25
bld_B355671871701063C0,     775.64,     531.37,   15.45,    5.45,  27.00,   -14.86
bld_B355671872001063C0,     777.10,     535.94,   15.25,    4.17,  27.14,   -15.02
bld_B355671913801063C0,     784.07,     954.97,   13.03,    4.91,  22.22,     9.27
bld_B355681878601063C0,     774.77,     602.53,   15.91,    4.24,  37.50,   -15.26
bld_B355681879001063C0,     775.64,     605.75,   15.89,    2.45,  37.39,   -15.25
bld_B355681913301063C0,     784.83,     950.26,   13.02,    4.79,  22.31,     9.33
bld_B355691860101063C0,     773.38,     418.99,   14.46,    4.68,  26.39,   -14.87
bld_B355691860701063C0,     775.24,     422.90,   16.08,    4.14,  25.53,   -14.74
bld_B355691872801063C0,     779.18,     543.89,   13.21,    4.26,  21.62,   -15.04
bld_B355701872301063C0,     779.21,     539.53,   14.31,    4.15,  21.85,   -15.02
bld_B355701879601063C0,     777.82,     612.52,   16.74,    2.74,  37.09,   -15.24
bld_B355701880001063C0,     778.11,     616.18,   16.56,    4.55,  27.20,   -15.26
bld_B355701911501063C0,     785.91,     931.00,   15.42,   14.26,  82.30,   -81.47
bld_B355711861001063C0,     776.17,     426.44,   16.09,    5.59,  26.54,   -14.50
bld_B355711873201063C0,     779.97,     548.12,   15.83,    4.72,  27.09,   -15.06
bld_B355711873601063C0,     782.53,     551.86,   12.76,    3.85,  27.10,   -15.01
bld_B355711880401063C0,     779.37,     620.32,   16.85,    4.12,  27.20,   -15.24
bld_B355711911302063C0,     784.78,     934.14,   27.18,   17.18,  11.02,   -80.90
bld_B355721861401063C0,     777.35,     430.91,   16.07,    3.86,  26.54,   -14.75
bld_B355721880901063C0,     780.50,     624.65,   16.92,    4.86,  26.37,   -15.24
bld_B355721910001063C0,     789.39,     916.41,   10.71,    9.46,  78.22,     9.14
bld_B355731861901063C0,     778.35,     434.75,   16.06,    5.68,  27.05,   -14.63
bld_B355731881301063C0,     781.63,     629.15,   16.85,    4.42,  26.50,   -15.25
bld_B355731909902063C0,     787.78,     915.62,   16.61,   10.80,  19.40,     9.09
bld_B355741874401063C0,     781.33,     559.82,   11.33,    8.80,  52.99,    76.57
bld_B355741874502063C0,     783.10,     560.36,   15.14,   13.40,  20.70,   -14.63
bld_B355741881701063C0,     782.83,     633.29,   15.58,    4.39,  26.49,   -14.73
bld_B355741907401063C0,     791.01,     892.62,   18.75,   11.69,  43.44,     8.83
bld_B355751862301063C0,     779.53,     439.23,   16.05,    3.79,  26.54,   -14.68
bld_B355751882101063C0,     783.92,     637.55,   15.95,    4.56,  27.46,   -15.26
bld_B355751882501063C0,     785.29,     642.10,   16.27,    4.97,  27.46,   -15.25
bld_B355761862701063C0,     780.68,     443.60,   16.08,    7.02,  27.06,   -14.34
bld_B355771875602063C0,     785.96,     571.04,   15.06,    8.49,  20.67,   -15.01
bld_B355781864101063C0,     781.02,     457.06,    9.81,    4.71,  32.88,   -14.57
bld_B355781876501063C0,     786.47,     581.21,   11.44,   10.84,  67.11,    75.00
bld_B355781906801063C0,     794.95,     885.42,   13.19,    4.61,  38.60,     9.05
bld_B355791864601063C0,     782.15,     461.54,    9.84,    4.69,  32.89,   -14.89
bld_B355791865001063C0,     786.20,     465.05,   15.95,    4.73,  34.56,   -14.89
bld_B355791875501063C0,     786.55,     570.83,   10.64,    8.32,  71.11,   -14.55
bld_B355791876502063C0,     787.80,     581.24,   13.49,   12.19,  16.45,   -14.92
bld_B355791883702063C0,     788.72,     654.23,   20.84,   16.62,  23.01,    75.90
bld_B355791883801063C0,     789.59,     656.31,   13.50,   10.79,  78.28,    75.42
bld_B355791907801063C0,     795.03,     895.65,    9.86,    6.96,  40.04,     8.93
bld_B355801893301063C0,     790.47,     748.79,    5.00,    3.47,   7.86,     9.30
bld_B355801902801063C0,     792.02,     844.67,    3.12,    2.66,  10.46,     8.13
bld_B355801905202063C0,     794.39,     869.12,   27.71,   18.57,  22.10,   -81.15
bld_B355811905301063C0,     796.14,     869.56,   18.71,   12.27,  60.18,   -81.03
bld_B355821865901063C0,     788.45,     473.79,   15.99,    4.41,  33.25,   -14.85
bld_B355831878501063C0,     792.78,     600.06,   16.44,    9.99,  28.04,   -14.87
bld_B355841864201063C0,     789.27,     457.29,    9.28,    6.09,  33.41,    75.50
bld_B355841866701063C0,     790.67,     482.41,   16.05,    4.56,  32.88,   -14.86
bld_B355841903501063C0,     796.26,     851.63,   10.66,    8.08,  52.07,     8.75
bld_B355841903502063C0,     798.69,     851.57,   18.51,    9.25,  21.55,    10.24
bld_B355841919001063C0,     798.50,    1008.49,    7.52,    4.72,  17.50,   -81.00
bld_B355851879101063C0,     795.06,     607.01,   16.30,    4.94,  27.86,   -15.00
bld_B355861865301063C0,     787.36,     469.51,   15.96,    5.35,  35.47,   -14.43
bld_B355861867001063C0,     791.82,     486.67,   15.97,    4.77,  27.89,   -14.79
bld_B355861867501063C0,     792.95,     490.96,   15.93,    4.37,  27.74,   -14.77
bld_B355861879601063C0,     796.50,     611.32,   15.76,    5.01,  28.19,   -14.79
bld_B355871860201063C0,     793.33,     418.33,   16.05,    4.52,  28.01,   -15.21
bld_B355871867901063C0,     794.08,     495.32,   15.96,    4.74,  27.74,   -15.09
bld_B355871902801063C0,     799.62,     844.69,   17.89,    7.62,  22.70,     8.87
bld_B355881860701063C0,     794.27,     422.18,   15.89,    5.41,  28.01,   -14.72
bld_B355881861101063C0,     795.44,     426.57,   15.89,    4.33,  27.90,   -15.00
bld_B355881866101063C0,     789.57,     478.07,   16.00,    5.21,  34.21,   -14.29
bld_B355881868301063C0,     795.18,     499.55,   15.96,    4.22,  27.74,   -15.04
bld_B355881880001063C0,     797.43,     615.99,   16.29,    5.30,  28.36,   -15.02
bld_B355881880401063C0,     798.58,     620.38,   16.34,    3.86,  28.36,   -15.31
bld_B355891880901063C0,     799.74,     624.59,   16.36,    4.89,  28.08,   -15.30
bld_B355891894301063C0,     797.76,     758.81,   23.01,    9.07,  18.11,     9.11
bld_B355891916601063C0,     806.38,     982.07,   18.93,    5.07,  22.34,     8.35
bld_B355901861501063C0,     797.77,     430.42,   13.33,    4.34,  27.91,   -14.91
bld_B355901868701063C0,     796.27,     503.76,   15.97,    4.51,  27.74,   -15.04
bld_B355901869201063C0,     797.24,     507.79,   15.83,    5.22,  27.66,   -14.97
bld_B355901881301063C0,     801.17,     629.19,   15.95,    4.74,  28.07,   -15.32
bld_B355901903201063C0,     804.71,     848.62,    6.58,    1.43,  22.70,     9.07
bld_B355901916101063C0,     807.18,     977.54,   19.25,    4.68,  20.90,     8.81
bld_B355901917901063C0,     806.17,     992.82,   15.20,   11.50,  46.97,     8.90
bld_B355901917902063C0,     805.00,     994.06,   18.26,   17.13,  18.20,   -80.99
bld_B355911862401063C0,     798.68,     439.80,   16.37,    5.21,  27.56,   -15.15
bld_B355911869601063C0,     798.52,     512.74,   15.82,    5.02,  27.67,   -14.96
bld_B355911919501063C0,     806.51,    1009.74,    7.73,    7.49,  12.30,     8.78
bld_B355921861901063C0,     797.42,     435.04,   16.38,    4.64,  27.57,   -15.16
bld_B355921881701063C0,     802.16,     633.66,   16.17,    4.49,  27.16,   -15.83
bld_B355931915701063C0,     808.80,     972.12,   19.52,    7.63,  27.46,     9.02
bld_B355941863901063C0,     802.26,     452.62,   13.12,    6.90,  39.35,   -14.62
bld_B355941882701063C0,     804.45,     642.54,   15.96,   14.40,  38.24,   -14.78
bld_B355961864801063C0,     805.17,     463.11,   12.86,    5.00,  36.94,   -14.92
bld_B355961883601063C0,     807.65,     651.08,   17.56,    4.56,  30.69,   -14.49
bld_B355961913801063C0,     811.25,     955.28,   19.48,   15.73,  11.35,     8.57
bld_B355971870901063C0,     802.58,     527.28,   16.12,   10.81,  27.91,   -14.45
bld_B355971884001063C0,     808.22,     656.79,   15.88,    6.98,  30.69,   -15.33
bld_B355981865801063C0,     807.62,     472.92,   13.20,    4.88,  37.69,   -15.30
bld_B355991912601063C0,     813.26,     940.84,   17.29,    4.46,  33.45,     8.91
bld_B355991913001063C0,     812.60,     945.51,   17.50,    4.99,  33.45,     8.91
bld_B356001864201063C0,     803.77,     458.35,   13.10,    5.03,  39.36,   -14.86
bld_B356001872601063C0,     806.59,     541.76,   20.20,   15.57,  27.20,    75.05
bld_B356001911802063C0,     813.68,     934.28,   18.09,    9.13,  12.75,     8.14
bld_B356011911901063C0,     817.43,     934.83,   10.42,    9.15,  76.36,     8.76
bld_B356021865201063C0,     806.41,     468.05,   13.02,    5.22,  36.92,   -15.04
bld_B356021866101063C0,     808.80,     477.67,   13.38,    4.92,  37.68,   -15.37
bld_B356031866701063C0,     810.52,     481.83,   14.65,    4.24,  32.36,   -15.35
bld_B356031867101063C0,     811.29,     486.44,   15.60,    5.11,  33.78,   -15.57
bld_B356041867601063C0,     812.45,     490.82,   15.55,    4.35,  31.86,   -14.96
bld_B356051867901063C0,     813.21,     494.60,   15.99,    4.63,  29.05,   -14.37
bld_B356061868401063C0,     814.49,     498.83,   16.39,    4.44,  29.05,   -14.61
bld_B356061868901063C0,     815.58,     503.34,   16.59,    5.28,  37.60,   -14.96
bld_B356061910301063C0,     816.66,     921.28,   18.58,   17.24,  30.93,     8.48
bld_B356071907701063C0,     820.39,     896.39,   17.06,   12.56,  44.19,     9.16
bld_B356081869301063C0,     816.69,     508.38,   16.21,    5.09,  37.60,   -15.06
bld_B356081907802063C0,     819.63,     894.63,   19.06,   15.89,  15.49,     9.16
bld_B356081918601063C0,     824.32,    1002.26,   15.43,    5.97,  22.12,   -81.12
bld_B356091906901063C0,     822.00,     885.22,   17.44,    4.69,  27.57,     9.03
bld_B356101870501063C0,     819.88,     519.96,   15.99,    6.15,  36.30,   -14.99
bld_B356101906401063C0,     822.74,     880.53,   17.41,    4.82,  27.57,     9.00
bld_B356111871701063C0,     822.55,     530.05,   16.09,    4.89,  36.31,   -14.99
bld_B356121894901063C0,     821.89,     760.41,   22.76,   13.17,  14.57,     9.12
bld_B356121903501063C0,     827.37,     850.69,   17.40,   11.10,  36.53,     8.99
bld_B356121905102063C0,     825.15,     867.15,   23.21,   17.39,  23.49,   -81.41
bld_B356131877401063C0,     817.73,     591.05,   18.65,    6.29,  28.14,   -14.87
bld_B356131905301063C0,     824.21,     864.66,   17.46,   10.96,  56.11,   -81.14
bld_B356141875001063C0,     822.17,     565.05,   30.08,   26.42,  12.39,   -14.84
bld_B356141877901063C0,     820.46,     595.87,   15.89,    5.10,  32.95,   -15.38
bld_B356141916601063C0,     832.34,     992.23,   24.94,    9.43,  82.67,   -81.61
bld_B356151878401063C0,     821.58,     600.08,   15.85,    4.64,  34.20,   -14.96
bld_B356151896701063C0,     826.43,     782.59,    4.57,    3.51,   7.89,   -79.80
bld_B356151916802063C0,     830.58,     986.57,   41.96,   14.62,  11.17,   -81.41
bld_B356161878901063C0,     822.79,     604.61,   15.81,    4.76,  34.20,   -14.95
bld_B356171871001063C0,     821.44,     525.53,   15.91,    5.43,  37.97,   -14.98
bld_B356171872601063C0,     825.62,     541.73,   16.01,   10.59,  28.37,   -14.46
bld_B356171879201063C0,     823.91,     608.98,   15.79,    5.06,  33.03,   -14.77
bld_B356171879601063C0,     824.80,     612.58,   15.77,    3.38,  35.32,   -15.05
bld_B356181880001063C0,     825.74,     616.16,   15.78,    4.04,  38.12,   -14.99
bld_B356191871901063C0,     823.83,     534.84,   16.11,    5.17,  36.30,   -14.65
bld_B356191880301063C0,     825.99,     620.12,   14.24,    3.80,  38.11,   -14.80
bld_B356201880701063C0,     826.86,     623.45,   14.25,    3.16,  35.32,   -15.04
bld_B356201912601063C0,     839.41,     943.26,   10.44,    9.44,  82.72,     9.14
bld_B356211881101063C0,     829.19,     626.72,   15.35,    4.77,  29.06,   -14.73
bld_B356231863101063C0,     828.39,     444.85,   16.31,    6.14,  28.60,   -14.80
bld_B356231882301063C0,     835.08,     641.75,   18.54,   10.81,  61.28,    75.21
bld_B356231882502063C0,     832.50,     640.92,   24.62,   15.39,  23.04,    75.38
bld_B356231912702063C0,     837.67,     942.98,   13.98,    9.46,  19.59,     9.23
bld_B356241863501063C0,     829.53,     449.90,   15.95,    4.30,  28.60,   -15.08
bld_B356241863901063C0,     830.61,     453.83,   15.17,    4.42,  35.06,   -15.26
bld_B356241897601063C0,     836.64,     790.99,    5.87,    4.55,  12.50,     8.47
bld_B356251911101063C0,     840.45,     926.42,   15.45,   14.35,  27.57,   -81.54
bld_B356261860701063C0,     832.26,     423.61,   30.76,   13.14,  23.35,   -14.62
bld_B356261864301063C0,     830.90,     458.52,   13.33,    4.92,  35.06,   -14.41
bld_B356261901601063C0,     836.47,     830.18,   19.10,    6.27,  12.92,     8.98
bld_B356281864901063C0,     833.68,     464.38,   12.74,    9.03,  27.43,   -14.74
bld_B356281877201063C0,     837.67,     585.85,   13.64,    6.36,  34.31,   -14.27
bld_B356281877501063C0,     838.99,     591.01,   13.62,    4.31,  32.72,   -14.26
bld_B356291878001063C0,     840.42,     595.23,   12.39,    4.75,  34.36,   -14.87
bld_B356301865501063C0,     834.57,     470.65,   14.30,    4.42,  27.45,   -14.70
bld_B356301866001063C0,     835.64,     474.93,   14.25,    4.50,  27.45,   -15.10
bld_B356301878401063C0,     840.45,     600.19,   14.95,    4.95,  34.36,   -15.42
bld_B356311866601063C0,     838.64,     480.86,   13.89,    8.68,  64.30,   -14.66
bld_B356311900601063C0,     839.21,     821.27,   21.83,   12.78,  14.17,     8.89
bld_B356321878901063C0,     841.61,     604.55,   15.07,    4.16,  33.30,   -15.69
bld_B356321918601063C0,     847.78,    1002.79,   19.89,   18.75,  62.67,   -81.06
bld_B356331867201063C0,     839.71,     487.26,   15.70,    4.79,  27.58,   -15.19
bld_B356331916801063C0,     851.54,     984.31,   18.16,   16.91,  58.83,   -81.63
bld_B356341867601063C0,     840.82,     491.76,   15.63,    4.51,  27.58,   -15.07
bld_B356341879901063C0,     844.10,     613.15,   15.30,    4.16,  27.44,   -14.63
bld_B356341897201063C0,     845.19,     786.72,   22.76,    6.82,  14.23,     8.46
bld_B356341899501063C0,     841.96,     807.96,   22.96,   14.95,  15.71,     9.25
bld_B356351880401063C0,     846.54,     617.55,   17.75,    5.78,  32.42,   -14.19
bld_B356361880901063C0,     846.79,     623.13,   15.44,    6.38,  33.78,   -15.08
bld_B356361883002063C0,     850.84,     642.07,   13.80,   10.16,  11.17,   -14.58
bld_B356361898201063C0,     843.57,     797.51,   23.18,    6.36,  14.35,     8.96
bld_B356361901601063C0,     847.83,     832.16,    5.93,    3.99,   9.49,   -81.03
bld_B356371862901063C0,     842.64,     442.53,    9.87,    7.90,  29.15,    75.08
bld_B356371868401063C0,     842.50,     498.78,   16.08,   10.67,  28.33,   -13.46
bld_B356371879301063C0,     842.87,     608.79,   15.28,    5.00,  27.44,   -14.91
bld_B356371881401063C0,     848.43,     629.53,   15.43,    6.98,  34.27,   -15.16
bld_B356371897801063C0,     848.87,     793.05,   14.10,    4.55,  14.35,     9.29
bld_B356371900201063C0,     850.04,     817.43,    3.76,    1.84,   8.80,     8.61
bld_B356371915101063C0,     853.95,     966.47,   19.50,   18.01,  56.82,     9.05
bld_B356391882001063C0,     849.88,     635.24,   15.35,    4.82,  32.45,   -15.15
bld_B356391913801063C0,     855.65,     953.39,   16.75,    9.03,  42.64,     9.00
bld_B356401898701063C0,     846.05,     801.80,   16.86,    1.55,  11.36,     9.41
bld_B356401912901063C0,     858.68,     940.52,   17.83,   15.64,  61.48,   -80.89
bld_B356411862601063C0,     850.56,     441.00,   10.89,    8.23,  29.15,    74.86
bld_B356411863501063C0,     848.75,     449.02,   16.05,    4.71,  29.19,   -14.66
bld_B356411882701063C0,     853.42,     643.04,   12.28,   12.07,  27.33,    75.38
bld_B356411901501063C0,     867.53,     810.49,   56.68,   25.33,  13.81,   -80.98
bld_B356411907902063C0,     855.93,     894.47,   34.96,   27.37,  26.15,     8.63
bld_B356421863901063C0,     849.98,     453.33,   15.85,    4.39,  29.18,   -14.22
bld_B356421864401063C0,     850.46,     457.68,   15.50,    4.69,  33.87,   -14.28
bld_B356421907801063C0,     854.18,     893.51,   30.42,   25.83,  76.23,     9.01
bld_B356421911201063C0,     858.42,     927.23,   15.24,    8.70, 107.15,     8.64
bld_B356431864701063C0,     851.70,     462.00,   15.26,    4.49,  33.87,   -15.03
bld_B356431911202063C0,     859.30,     926.51,   17.87,   10.42,  18.55,     8.74
bld_B356451865101063C0,     853.33,     466.04,   16.21,    4.68,  28.34,   -14.84
bld_B356451865501063C0,     854.42,     470.33,   16.16,    4.19,  28.34,   -14.82
bld_B356451871101063C0,     852.12,     524.35,   30.73,   22.03,  45.69,    75.56
bld_B356451892201063C0,     856.31,     736.73,    2.81,    2.08,  11.60,   -84.90
bld_B356471866001063C0,     854.23,     474.64,   14.28,    4.46,  27.59,   -14.63
bld_B356481866401063C0,     855.41,     478.77,   14.14,    4.16,  27.59,   -14.73
bld_B356501866801063C0,     857.39,     482.72,   16.08,    4.68,  28.43,   -14.50
bld_B356511867201063C0,     858.71,     487.69,   16.00,    5.61,  28.43,   -14.50
bld_B356521868001063C0,     860.37,     494.05,   15.90,   10.73,  29.28,   -14.40
