# buildings_simplified.csv -- one row per building, frame: SUMO local (m)
# name, cx, cy, sx, sy, sz, yaw_deg
bld_B353791872901063C0,     587.58,     549.24,   17.15,    4.17,  26.77,   -15.01
bld_B353801873401063C0,     588.36,     553.33,   16.22,    4.73,  26.36,   -15.38
bld_B353811860201063C0,     585.42,     422.55,   13.38,    5.38,  25.45,   -14.57
bld_B353811873801063C0,     589.53,     557.71,   16.22,    4.35,  26.36,   -15.31
bld_B353811902602063C0,     611.76,     871.17,  118.18,  116.08,  13.11,   -81.46
bld_B353831862301063C0,     589.71,     442.29,   22.53,   16.28,  19.25,    76.03
bld_B353831874401063C0,     591.39,     564.72,   17.67,   10.71,  39.16,   -14.89
bld_B353841895601063C0,     601.79,     771.95,   48.09,   25.62,  20.48,   -81.78
bld_B353881909701063C0,     603.93,     913.81,   32.03,   32.01,  92.48,   -84.44
bld_B353891863501063C0,     594.49,     455.15,   16.34,    5.51,  22.05,   -14.42
bld_B353901864001063C0,     595.72,     460.14,   16.17,    5.29,  20.91,   -14.65
bld_B353901916901063C0,     604.36,     989.47,   27.44,   12.31,  34.25,     8.50
bld_B353921864701063C0,     597.80,     467.68,   12.73,   10.64,  26.47,   -14.71
bld_B353941865601063C0,     599.36,     475.16,   13.56,    5.43,  27.11,   -15.20
bld_B353961866001063C0,     600.65,     480.10,   13.47,    5.07,  27.10,   -15.06
bld_B353971866501063C0,     602.18,     484.89,   12.99,    5.27,  27.79,   -15.54
bld_B353981867001063C0,     603.61,     490.18,   12.92,    5.95,  26.43,   -14.56
bld_B353991861101063C0,     606.09,     430.49,   15.61,    6.09,  26.55,   -14.48
bld_B354011861701063C0,     607.63,     436.01,   15.42,    5.42,  26.56,   -14.85
bld_B354011862201063C0,     608.50,     440.96,   16.41,    5.26,  34.70,   -15.39
bld_B354011868401063C0,     606.23,     503.42,   17.78,    6.61,  19.29,   -13.35
bld_B354021862701063C0,     609.76,     445.88,   16.38,    5.13,  34.70,   -14.64
bld_B354031868801063C0,     608.25,     508.42,   13.77,    5.26,  27.00,   -14.81
bld_B354031869401063C0,     610.01,     513.42,   14.60,    5.32,  27.01,   -14.83
bld_B354041863101063C0,     611.15,     450.59,   16.02,    5.02,  27.32,   -14.85
bld_B354041869801063C0,     610.89,     518.34,   15.55,    4.92,  22.59,   -14.97
bld_B354051863701063C0,     612.52,     455.65,   16.50,    5.48,  27.33,   -14.85
bld_B354051870301063C0,     612.21,     523.24,   15.58,    5.25,  22.58,   -14.95
